;Модель;Год;Цена;Пробег;Регион;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
130; SsangYong Actyon II Рестайлинг  ; 2014 ; 599 000 ; 53 000 ;" Москва
"; 20 апреля; 4,3; 2.0 л; 149 л.с.; механика; бензин; АИ-95; передний;; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1612; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 163;; АИ-95; переднее, поперечное; 1998; нет; 149 / 110 при 6000; 197 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
131; SsangYong Actyon II  ; 2012 ; 580 000 ; 100 000 ;" Москва
"; 20 апреля; 4,1; 2.0 л; 149 л.с.; механика; бензин; АИ-95; передний; 11 с; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1612; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 163; 11; АИ-95; переднее, поперечное; 1998; нет; 149 / 110 при 6000; 197 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
132; SsangYong Actyon II Рестайлинг  ; 2014 ; 685 000 ; 52 500 ;" Казань
"; 23 апреля; 4,3; 2.0 л; 149 л.с.; механика; бензин; АИ-95; передний;; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1612; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 163;; АИ-95; переднее, поперечное; 1998; нет; 149 / 110 при 6000; 197 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
133; SsangYong Actyon II  ; 2012 ; 479 000 ; 59 300 ;" Самара
"; 20 апреля; 4,1; 2.0 л; 149 л.с.; механика; бензин; АИ-95; передний; 11 с; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1612; механика; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 163; 11; АИ-95; переднее, поперечное; 1998; нет; 149 / 110 при 6000; 197 при 3500 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 86 × 86
134; SsangYong Kyron I Рестайлинг  ; 2008 ; 455 000 ; 118 000 ;" Уфа
"; 20 апреля; 3,9; 2.0 л; 141 л.с.; механика; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1893; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 167; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
135; SsangYong Rexton I  ; 2007 ; 400 000 ; 130 000 ;" Уфа
"; 6 апреля; 4,4; 2.3 л; 140 л.с.; автомат; бензин; АИ-95; полный;; Южная Корея; 5; 5, 7; 4720; 1870; 1760; 2820; 500/1920; 1815; автомат; 4; полный; независимая, торсионная; независимая, пружинная; дисковые вентилируемые; дисковые; 160;; АИ-95; переднее, продольное; 2295; нет; 140 / 103 при 5250; 209 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 90.9 × 88.4
136; SsangYong Actyon II Рестайлинг  ; 2014 ; 699 000 ; 98 000 ;" Воронеж
"; 20 апреля; 4,3; 2.0 л; 149 л.с.; механика; дизель; ДТ; полный;; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1747; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174;; ДТ; переднее, поперечное; 1998; турбонаддув; 149 / 110 при 3000 – 4000; 360 при 2000 – 2500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 86.2 × 85.6
137; SsangYong Kyron I Рестайлинг  ; 2013 ; 533 000 ; 36 205 ;" Тамбов
"; 20 апреля; 3,9; 2.0 л; 141 л.с.; механика; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1893; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 167; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
138; SsangYong Kyron I  ; 2007 ; 420 000 ; 200 000 ;" Нижний Новгород
"; 23 апреля; 3,7; 2.0 л; 141 л.с.; автомат; дизель; ДТ; полный;; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625/2322; 1980; автомат; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 166;; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива);; 86.2 × 85.6
139; SsangYong Kyron I Рестайлинг  ; 2009 ; 500 000 ; 89 000 ;" Астрахань
"; 20 апреля; 3,9; 2.0 л; 141 л.с.; механика; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1893; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 167; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
140; SsangYong Kyron I Рестайлинг 6-speed  ; 2013 ; 620 000 ; 88 000 ;" Москва
"; 28 марта; 3,9; 2.3 л; 150 л.с.; автомат; бензин; АИ-95; полный; 14.4 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 2010; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 170; 14.4; АИ-95; переднее, продольное; 2295; нет; 150 / 110 при 5500; 214 при 3500 – 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.4; 90.9 × 88.4
141; SsangYong Kyron I Рестайлинг 6-speed  ; 2011 ; 455 000 ; 146 760 ;" Петрозаводск
"; 20 апреля; 3,9; 2.0 л; 141 л.с.; автомат; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1920; автомат; 6; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 166; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
142; SsangYong Kyron I Рестайлинг  ; 2009 ; 520 000 ; 61 000 ;" Вязьма
"; 20 апреля; 3,9; 2.0 л; 141 л.с.; механика; дизель; ДТ; полный; 16.2 с; Южная Корея; 5; 5; 4660; 1880; 1755; 2740; 625; 1893; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; дисковые; 167; 16.2; ДТ; переднее, продольное; 1998; турбонаддув; 141 / 104 при 4000; 310 при 1800 – 2750; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.5; 86.2 × 85.6
143; SsangYong Actyon II  ; 2012 ; 635 000 ; 85 321 ;" Санкт-Петербург
"; 20 апреля; 4,1; 2.0 л; 149 л.с.; автомат; дизель; ДТ; передний; 11 с; Южная Корея; 5; 5; 4410; 1830; 1675; 2650; 486; 1747; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 174; 11; ДТ; переднее, поперечное; 1998; турбонаддув; 149 / 110 при 3000 – 4000; 360 при 2000 – 2500; рядное; 4; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 86.2 × 85.6
