;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Genesis G90 I  ; 2016 ;2 920 000 ; 27 900 ; 15 апреля;  ; 3.3 л; 370 л.с.; автомат; бензин; АИ-95; полный; 6.2 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2265; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.2; АИ-95; переднее, продольное; 3342; турбонаддув; 370 / 272 при 6000; 510 при 1300 – 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 10; 92 × 83.8
2; Genesis G80 I  ; 2017 ; 3 240 000 ; Нов; 13 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
3; Genesis G80 I  ; 2017 ; 2 890 000 ; 605 ; 20 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
4; Genesis G80 I  ; 2017 ; 2 049 000 ; 1 104 ; 18 апреля;  ; 2.0 л; 197 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 227; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 197 / 145 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
5; Genesis G80 I  ; 2018 ; 2 650 000 ; Нов; 21 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
6; Genesis G80 I  ; 2017 ; 2 500 000 ; Нов; 20 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
7; Genesis G90 I  ; 2017 ; 4 600 000 ; Нов; 20 апреля;  ; 3.8 л; 309 л.с.; автомат; бензин; АИ-92; полный; 6.9 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2155; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.9; АИ-92; переднее, продольное; 3778; нет; 309 / 227 при 6000; 391 при 5000; V-образное; 6; 4; непосредственный впрыск (прямой);; 
8; Genesis G80 I  ; 2017 ; 2 650 000 ; Нов; 19 апреля;  ; 2.0 л; 197 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 227; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 197 / 145 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
9; Genesis G80 I  ; 2017 ; 2 170 000 ; 1 432 ; 16 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
10; Genesis G80 I  ; 2017 ; 2 170 000 ; 891 ; 16 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
11; Genesis G80 I  ; 2017 ; 2 199 000 ; 554 ; 15 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
12; Genesis G80 I  ; 2017 ; 2 200 000 ; 800 ; 6 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
13; Genesis G80 I  ; 2017 ; 2 550 000 ; Нов; 15 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
14; Genesis G80 I  ; 2017 ; 2 300 000 ; 21 423 ; 6 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
15; Genesis G80 I  ; 2017 ; 2 190 000 ; 586 ; 8 апреля;  ; 2.0 л; 197 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 227; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 197 / 145 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
16; Genesis G90 I  ; 2018 ; 5 075 000 ; Нов; 9 апреля;  ; 3.8 л; 309 л.с.; автомат; бензин; АИ-92; полный; 6.9 с; Южная Корея; 4; 4, 5; 5205; 1915; 1495; 3160; 484; 2155; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 240; 6.9; АИ-92; переднее, продольное; 3778; нет; 309 / 227 при 6000; 391 при 5000; V-образное; 6; 4; непосредственный впрыск (прямой);; 
17; Genesis G80 I  ; 2018 ; 2 900 000 ; Нов; 9 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
18; Genesis G80 I  ; 2018 ; 2 800 000 ; Нов; 9 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
19; Genesis G80 I  ; 2018 ; 2 900 000 ; Нов; 9 апреля;  ; 2.0 л; 245 л.с.; автомат; бензин; АИ-95; полный; 8.6 с; Южная Корея; 4; 4, 5; 4990; 1890; 1480; 3010; 433; 2015; автомат; 8; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 237; 8.6; АИ-95; переднее, продольное; 1998; турбонаддув; 245 / 180 при 6000; 353 при 1400 – 4000; рядное; 4; 4; непосредственный впрыск (прямой);; 
